station_name=W 84 St & Columbus Ave; pagerank=0.58
station_name=W 89 St & Columbus Ave; pagerank=0.58
station_name=Bergen St & Vanderbilt Ave; pagerank=0.57
station_name=Cadman Plaza E & Johnson St; pagerank=0.57
station_name=Central Ave & Flushing Ave; pagerank=0.57
station_name=Clinton Ave & Flushing Ave; pagerank=0.57
station_name=DeKalb Ave & S Portland Ave; pagerank=0.57
station_name=Fulton St & Waverly Ave; pagerank=0.57
station_name=Carroll St & 5 Ave; pagerank=0.56
station_name=Central Park North & Adam Clayton Powell Blvd; pagerank=0.56
station_name=E 67 St & Park Ave; pagerank=0.56
station_name=Fulton St & Rockwell Pl; pagerank=0.56
station_name=Graham Ave & Withers St; pagerank=0.56
station_name=Leonard St & Boerum St; pagerank=0.56
station_name=Lewis Ave & Madison St; pagerank=0.56
station_name=McKibbin St & Bogart St; pagerank=0.56
station_name=St. Nicholas Ave & W 126 St; pagerank=0.56
station_name=Avenue D & E 8 St; pagerank=0.55
station_name=Clermont Ave & Park Ave; pagerank=0.55
station_name=DeKalb Ave & Vanderbilt Ave; pagerank=0.55
station_name=Division Av & Hooper St; pagerank=0.55
station_name=E 102 St & 1 Ave; pagerank=0.55
station_name=E 68 St & 3 Ave; pagerank=0.55
station_name=E 88 St & Park Ave; pagerank=0.55
station_name=Monroe St & Bedford Ave; pagerank=0.55
station_name=Nassau Ave & Newell St; pagerank=0.55
station_name=Richardson St & N Henry St; pagerank=0.55
station_name=W 116 St & Broadway; pagerank=0.55
station_name=Willoughby Ave & Tompkins Ave; pagerank=0.55
station_name=7 St & 5 Ave; pagerank=0.54
station_name=Eastern Pkwy & Franklin Ave; pagerank=0.54
station_name=Kosciuszko St & Tompkins Ave; pagerank=0.54
station_name=Lincoln Pl & Classon Ave; pagerank=0.54
station_name=Marcy Ave & Lafayette Ave; pagerank=0.54
station_name=Plaza St West & Flatbush Ave; pagerank=0.54
station_name=Willoughby Ave & Walworth St; pagerank=0.54
station_name=Wyckoff St & 3 Ave; pagerank=0.54
station_name=Center Blvd & 51 Ave; pagerank=0.53
station_name=DeKalb Ave & Franklin Ave; pagerank=0.53
station_name=Huron St & Franklin St; pagerank=0.53
station_name=Pierrepont St & Monroe Pl; pagerank=0.53
station_name=Prospect Pl & Underhill Ave; pagerank=0.53
station_name=Suydam St & Knickerbocker Ave; pagerank=0.53
station_name=5 Ave & E 103 St; pagerank=0.52
station_name=7 Ave & Park Pl; pagerank=0.52
station_name=Berkeley Pl & 6 Ave; pagerank=0.52
station_name=Cambridge Pl & Gates Ave; pagerank=0.52
station_name=Central Park W & W 96 St; pagerank=0.52
station_name=Devoe St & Lorimer St; pagerank=0.52
station_name=Douglass St & 4 Ave; pagerank=0.52
station_name=E 85 St & York Ave; pagerank=0.52
station_name=Franklin St & Dupont St; pagerank=0.52
station_name=Frederick Douglass Blvd & W 112 St; pagerank=0.52
station_name=Garfield Pl & 8 Ave; pagerank=0.52
station_name=Grand Ave & Bergen St; pagerank=0.52
station_name=Lafayette Ave & St James Pl; pagerank=0.52
station_name=N 15 St & Wythe Ave; pagerank=0.52
station_name=Park Pl & Franklin Ave; pagerank=0.52
station_name=Pulaski St & Marcus Garvey Blvd; pagerank=0.52
station_name=Tompkins Ave & Hopkins St; pagerank=0.52
station_name=Underhill Ave & Lincoln Pl; pagerank=0.52
station_name=W 87 St & Amsterdam Ave; pagerank=0.52
station_name=W 92 St & Broadway; pagerank=0.52
station_name=10 Hudson Yards; pagerank=0.51
station_name=12 St & 4 Ave; pagerank=0.51
station_name=3 St & 3 Ave; pagerank=0.51
station_name=3 St & Hoyt St; pagerank=0.51
station_name=6 St & 7 Ave; pagerank=0.51
station_name=Fulton St & Utica Ave; pagerank=0.51
station_name=Greene Ave & Throop Ave; pagerank=0.51
station_name=Riverside Dr & W 91 St; pagerank=0.51
station_name=W 100 St & Manhattan Ave; pagerank=0.51
station_name=45 Rd & 11 St; pagerank=0.5
station_name=Bedford Ave & S 9 St; pagerank=0.5
station_name=Bushwick Ave & Powers St; pagerank=0.5
station_name=Washington Ave & Park Ave; pagerank=0.5
station_name=2 Ave & E 96 St; pagerank=0.49
station_name=3 Ave & Carroll St; pagerank=0.49
station_name=3 St & Prospect Park West; pagerank=0.49
station_name=31 St & Northern Blvd; pagerank=0.49
station_name=47 Ave & 31 St; pagerank=0.49
station_name=7 St & 3 Ave; pagerank=0.49
station_name=Bond St & Bergen St; pagerank=0.49
station_name=Broadway & W 36 St; pagerank=0.49
station_name=Central Park West & W 100 St; pagerank=0.49
station_name=Columbia St & Kane St; pagerank=0.49
station_name=E 110 St & Madison Ave; pagerank=0.49
station_name=E 91 St & Park Ave; pagerank=0.49
station_name=Fulton St & Clermont Ave; pagerank=0.49
station_name=George St & Wilson Ave; pagerank=0.49
station_name=Grand Army Plaza & Plaza St West; pagerank=0.49
station_name=Greene Ave & Nostrand Ave; pagerank=0.49
station_name=Lenox Ave & W 111 St; pagerank=0.49
station_name=Monroe St & Tompkins Ave; pagerank=0.49
station_name=Newton Rd & 44 St; pagerank=0.49
station_name=Park Pl & Vanderbilt Ave; pagerank=0.49
station_name=Prospect Park West & 8 St; pagerank=0.49
